Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Training Time (s)
Logistic Regression,0.9950524167041483,0.9939131610983363,0.9868385710448563,0.9903632320237212,0.9983543629056737,0.6270163059234619
Random Forest,0.9962287651800851,0.9955423476968797,0.9897931775449906,0.9926594383460166,0.9985865546408047,53.50129818916321
